question_word,correct_answer,guess,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,N/A,guess
prominent,conspicuous,ancient,wrong
zenith,pinnacle,completion,wrong
flawed,imperfect,N/A,guess
urgently,desperately,desperately,correct
consumed,eaten,bred,wrong
advent,coming,coming,correct
concisely,succinctly,freely,wrong
salutes,greetings,ceremonies,wrong
solitary,alone,fearless,wrong
hasten,accelerate,accelerate,correct
perseverance,endurance,disturbance,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,instantly,wrong
issues,subjects,benefits,wrong
furnish,supply,impress,wrong
costly,expensive,popular,wrong
recognized,acknowledged,depicted,wrong
spot,location,sea,wrong
make,earn,trade,wrong
often,frequently,hardly,wrong
easygoing,relaxed,frontier,wrong
debate,argument,election,wrong
narrow,thin,clear,wrong
arranged,planned,explained,wrong
infinite,limitless,structural,wrong
showy,striking,incidental,wrong
levied,imposed,N/A,guess
deftly,skillfully,occasionally,wrong
distribute,circulate,research,wrong
discrepancies,differences,N/A,guess
prolific,productive,promising,wrong
unmatched,unequaled,alienated,wrong
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,curved,wrong
highlight,accentuate,N/A,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,windy,wrong
grin,smile,rest,wrong
verbally,orally,N/A,guess
physician,doctor,chemist,wrong
essentially,basically,possibly,wrong
keen,sharp,simple,wrong
situated,positioned,isolated,wrong
principal,major,most,wrong
slowly,gradually,gradually,correct
built,constructed,organized,wrong
tasks,jobs,materials,wrong
unlikely,improbable,improbable,correct
halfheartedly,apathetically,N/A,guess
annals,chronicles,chronicles,correct
wildly,furiously,abruptly,wrong
hailed,acclaimed,remembered,wrong
command,mastery,love,wrong
concocted,devised,requested,wrong
prospective,potential,prominent,wrong
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,wrong
tranquillity,peacefulness,weariness,wrong
dissipate,disperse,N/A,guess
primarily,chiefly,N/A,guess
colloquial,conversational,N/A,guess
resolved,settled,settled,correct
feasible,possible,permitted,wrong
expeditiously,rapidly,frequently,wrong
percentage,proportion,volume,wrong
terminated,ended,postponed,wrong
uniform,alike,sharp,wrong
figure,solve,list,wrong
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,N/A,guess
bigger,larger,better,wrong
roots,origins,cure,wrong
normally,ordinarily,ordinarily,correct
